,return
500,-0.034782226088534304
501,-0.034782226088534304
502,-0.034782226088534304
503,-0.034782226088534304
504,-0.034782226088534304
505,-0.034782226088534304
506,-0.034782226088534304
507,-0.034782226088534304
508,-0.034782226088534304
509,-0.034782226088534304
510,-0.034782226088534304
511,-0.034782226088534304
512,-0.034782226088534304
513,-0.034782226088534304
514,-0.034782226088534304
515,-0.034782226088534304
516,-0.034782226088534304
517,-0.034782226088534304
518,-0.034782226088534304
519,-0.034782226088534304
520,-0.034782226088534304
521,-0.034782226088534304
522,-0.034782226088534304
523,-0.034782226088534304
524,-0.034782226088534304
525,-0.034782226088534304
526,-0.034782226088534304
527,-0.034782226088534304
528,-0.034782226088534304
529,-0.034782226088534304
530,-0.034782226088534304
531,-0.034782226088534304
532,-0.034782226088534304
533,-0.034782226088534304
534,-0.034782226088534304
535,-0.034782226088534304
536,-0.034782226088534304
537,-0.034782226088534304
538,-0.034782226088534304
539,-0.034782226088534304
540,-0.034782226088534304
541,-0.034782226088534304
542,-0.034782226088534304
543,-0.034782226088534304
544,-0.034782226088534304
545,-0.034782226088534304
546,-0.034782226088534304
547,-0.034782226088534304
548,-0.034782226088534304
549,-0.034782226088534304
550,-0.034782226088534304
551,-0.034782226088534304
552,-0.034782226088534304
553,-0.034782226088534304
554,-0.034782226088534304
555,-0.034782226088534304
556,-0.034782226088534304
557,-0.034782226088534304
558,-0.034782226088534304
559,-0.034782226088534304
560,-0.034782226088534304
561,-0.034782226088534304
562,-0.034782226088534304
563,-0.034782226088534304
564,-0.034782226088534304
565,-0.034782226088534304
566,-0.034782226088534304
567,-0.034782226088534304
568,-0.034782226088534304
569,-0.034782226088534304
570,-0.034782226088534304
571,-0.034782226088534304
572,-0.034782226088534304
573,-0.034782226088534304
574,-0.034782226088534304
575,-0.034782226088534304
576,-0.034782226088534304
577,-0.034782226088534304
578,-0.034782226088534304
579,-0.034782226088534304
580,-0.034782226088534304
581,-0.034782226088534304
582,-0.034782226088534304
583,-0.034782226088534304
584,-0.034782226088534304
585,-0.034782226088534304
586,-0.034782226088534304
587,-0.034782226088534304
588,-0.034782226088534304
589,-0.034782226088534304
590,-0.034782226088534304
591,-0.034782226088534304
592,-0.034782226088534304
593,-0.034782226088534304
594,-0.034782226088534304
595,-0.034782226088534304
596,-0.034782226088534304
597,-0.034782226088534304
598,-0.034782226088534304
599,-0.034782226088534304
600,-0.034782226088534304
601,-0.034782226088534304
602,-0.034782226088534304
603,-0.034782226088534304
604,-0.034782226088534304
605,-0.034782226088534304
606,-0.034782226088534304
607,-0.034782226088534304
608,-0.034782226088534304
609,-0.034782226088534304
610,-0.034782226088534304
611,-0.034782226088534304
612,-0.034782226088534304
613,-0.034782226088534304
614,-0.034782226088534304
615,-0.034782226088534304
616,-0.034782226088534304
617,-0.034782226088534304
618,-0.034782226088534304
619,-0.034782226088534304
620,-0.034782226088534304
621,-0.034782226088534304
